432.271 0
439.091 0
443.636 0
445.446 0.019685
449.991 0.019685
454.966 0.0748031
457.212 0.133858
460.812 0.212598
462.591 0.299213
463.917 0.38189
465.702 0.456693
466.122 0.531496
467.899 0.622047
469.676 0.712598
471.002 0.795276
471.874 0.877953
474.116 0.944882
475.004 0.992126
478.642 0.988189
482.758 0.933071
485.061 0.866142
486.902 0.814961
489.66 0.748031
493.32 0.69685
497.409 0.700787
501.935 0.744094
506.016 0.76378
511.489 0.724409
514.701 0.65748
518.826 0.582677
522.498 0.503937
525.256 0.437008
528.017 0.362205
532.589 0.30315
539.882 0.259843
547.634 0.204724
554.93 0.153543
564.953 0.102362
575.431 0.0511811
585.44 0.0314961
596.351 0.0275591
605.444 0.023622
615.451 0.00787402
626.815 0.00787402
636.818 0
