350      0.0
400.206  0.00402581
402.143  0.0660132
404.558  0.130821
406.494  0.189992
408.918  0.274518
410.368  0.313967
412.315  0.398489
412.356  0.482997
414.305  0.570336
415.301  0.660485
417.248  0.742191
418.721  0.832344
420.17   0.871792
423.075  0.961956
426.43   0.998603
429.277  0.970457
432.116  0.922592
434.48   0.880358
437.315  0.82686
440.622  0.762098
443.92   0.677617
448.166  0.581877
450.53   0.539642
457.167  0.458005
468.558  0.348238
478.042  0.235638
479.922  0.179315
489.424  0.106152
494.653  0.0723916
507.497  0.00770621
