350.466   0.0275591
355.009   0.0354331
360.912   0.0433071
368.185   0.0669291
375.916   0.102362
380.936   0.161417
386.868   0.232283
391.894   0.307087
396.017   0.389764
401.05    0.480315
406.53    0.555118
412.915   0.622047
419.306   0.704724
422.975   0.787402
425.278   0.862205
427.124   0.929134
428.959   0.972441
431.239   0.996063
434.403   0.968504
437.094   0.897638
440.239   0.826772
443.845   0.771654
448.852   0.80315
451.591   0.838583
453.871   0.862205
459.298   0.818898
461.981   0.732283
462.855   0.65748
464.183   0.582677
465.961   0.5
467.746   0.433071
468.614   0.346457
470.388   0.255906
473.067   0.15748
476.208   0.0787402
481.174   0.019685
487.973   0.0
494.779   0.0
502.948   0.0
510.664   0.0
518.833   0.0
527.458   0.0
640.000   0.0
