296.844	 0.001
300.785	 0.001
307.893	 0.001
319.724	 0.001
342.606	 0.001
361.555	 0.001
369.496	 3.43
372.702	 6.002
375.916	 8.942
379.112	 10.962
384.685	 13.531
391.062	 16.836
395.864	 20.326
399.089	 23.817
404.673	 26.938
408.665	 29.325
416.594	 31.341
423.749	 34.093
432.486	 37.028
439.637	 39.596
446.795	 42.532
453.161	 45.284
462.676	 47.667
468.231	 49.317
474.539	 49.127
483.221	 49.303
487.206	 51.322
492.775	 53.708
498.352	 56.461
507.87	 59.027
526.038	 60.114
539.472	 61.205
552.113	 62.113
564.747	 62.653
574.959	 60.437
583.576	 57.302
592.182	 53.616
600.798	 50.482
613.331	 45.873
625.86	 41.08
638.396	 36.654
650.953	 33.332
651.662	 32.866
654.709	 23.766
661.73	 19.713
667.962	 15.662
678.193	 14.365
689.209	 12.883
700	 10
